stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
330367,SALAVE2,SALAVERRY,-12.0634744,-77.01457,0
330418,SALVAD55,San Salvador,-12.0155031,-77.0413098,0
330401,SANTOD5,Santo Domingo,-12.0154055,-77.041537,0
318049,SCHEL2,SCHELL,-12.072334,-77.014498,0
301014,SCOOL,SACO OLIVEROS,-12.0404076,-77.0213492,0
301099,SCOOL66,Saco Oliveros - SN,-12.040569,-77.021719,0
301067,SCOOL67,SACO OLIVEROS,-12.0407053,-77.0212387,0
330331,SECHUR,Sechura,-12.0217646,-77.0144396,0
301018,SEGURA,M.SEGURA,-12.0446031,-77.0207098,0
500259,SEGURA5,MANUEL SEGURA,-12.0446596,-77.0202266,0
301063,SEGURA63,M. SEGURA,-12.0447658,-77.0206263,0
318036,SILOY1,S.I. LOYOLA,-12.075934,-77.014055,0
327021,SOLED1,SOLEDAD,-12.052551,-77.020136,0
330419,STFE55,Santa Fé,-12.0155402,-77.0400408,0
330115,TARMAC,Tarma,-12.0339738,-77.0216505,0
330372,TCARD22,TEODORO CÁRDENAS,-12.0440386,-77.0203278,0
318054,TENAU2,CARLOS TENAUD,-12.0633084,-77.0149933,0
318156,TERUE,TERUE,-12.062689,-77.015156,0
318160,TERUE2,TERUEL  -  SN,-12.063056,-77.015034,0
330392,TMARI5,Tingo María,-12.0319771,-77.0325502,0
330113,TOMEDIS2,Tomás Edison - SN,-12.0102796,-77.0139058,0
314021,TORUGAR2,TORRE UGARTE - SN,-12.0520672,-77.0157451,0
328112,TRUJI1,Trujillo - NS,-12.0233328,-77.0143054,0
330386,TUGA305,Torre Ugarte,-12.0522056,-77.0201133,0
500244,UCAYALI,Ucayali,-12.025877,-77.013986,0
500245,UCAYALI2,Ucayali,-12.0259677,-77.0139546,0
301170,URUGU2,URUGU2,-12.031656,-77.021748,0
325183,VALDE1,VALDE1,-12.011571,-77.014645,0
330102,VIDAL2,Gral Vidal - SN,-12.020415,-77.022278,0
301064,VILLA2,E. VILLAR,-12.043733,-77.0207822,0
330417,VILLAR45,Villa Rica,-12.0155114,-77.0429273,0
330402,VILLAR55,Villa Rica,-12.0154196,-77.0426177,0
330223,VIRRE361,LOS VIRREYES,-12.0145649,-77.0143146,0
328203,VIRREY1,Los Virreyes,-12.014512,-77.0143871,0
3282031,VIRREY11,LOS VIRREYES,-12.014512,-77.0143871,0
325007,VIRU1,VIRU,-12.022227,-77.015848,0
301146,VLRAN1,VLRAN1,-12.0310901,-77.021896,0
301026,WASHING2,WASHINGTON - SN,-12.033681,-77.022225,0
330428,YURUAS,Yurua,-12.0314713,-77.0300544,0
330425,ZORR88,Zorritos,-12.0255939,-77.0325949,0
330394,ZORRI5,Zorritos,-12.0256576,-77.0333916,0
